phon	freq	word	grammar	id
s{tr@p	4.0	satrap	N	40107
sk{mpI	4.0	scampi	N	40236
sIntIl1t	4.0	scintillate	V	40381
skru_	4.0	scrooge	N	40550
sEnISP	4.0	seneschal	N	41096
S{d	4.0	shad	N	41390
S{m	4.0	sham	V	41446
skEp	4.0	skep	N	42366
skIf	4.0	skiff	N	42393
skVNk	4.0	skunk	N	42463
slVf	4.0	slough	N	42728
sn{fP	4.0	snaffle	N	42919
s$b1	4.0	sorbet	N	43373
sp{tjUl@	4.0	spatula	N	43622
spuf	4.0	spoof	N	43923
skwIb	4.0	squib	N	44135
st#nJ	4.0	stanch	V	44282
stQ_	4.0	stodge	N	44720
stQmp	4.0	stomp	N	44745
st#Irin	4.0	styrene	N	45154
swIzP	4.0	swizzle	N	45950
t1l@s	4.0	talus	N	46252
t#pQn	4.0	tarpon	N	46372
TIs$r@s	4.0	thesaurus	N	47009
Tju	4.0	thew	N	47015
t$tij@	4.0	tortilla	N	47796
trEdP	4.0	treadle	N	48198
tVsP	4.0	tussle	V	48714
twQdP	4.0	twaddle	N	48733
juvjUl@	4.0	uvula	N	49803
vEn_	4.0	venge	V	50041
vItrI@l	4.0	vitriol	N	50415
zI@rQks	4.0	xerox	N	52207
z3kQn	4.0	zircon	N	52424
{gr5	5.0	aggro	N	806
{l5	5.0	aloe	N	1139
@mI@R	5.0	amir	N	1293
{nIs	5.0	anise	N	1503
#g5	5.0	argot	N	1987
@s1	5.0	assay	V	2257
{str@k{n	5.0	astrakhan	N	2334
$k	5.0	auk	N	2520
b#bu	5.0	babu	N	2737
b{g@tEl	5.0	bagatelle	N	2877
bidP	5.0	beadle	N	3374
k1lIks	5.0	calyx	N	6078
k#bVNkP	5.0	carbuncle	N	6357
kE@riz	5.0	caries	N	6415
k{t@pVlt	5.0	catapult	N	6620
k@t#R	5.0	catarrh	N	6623
J3vIl	5.0	chervil	N	7228
sIr@s	5.0	cirrus	N	7628
klVNk	5.0	clunk	V	8055
kQmpQt	5.0	compote	N	8829
k$s#Z	5.0	corsage	N	9864
